Backbone,Config,Attack class,Asset,Impact used,Windows,Detected,Delay (windows)
LSTM,FULL,Uploading,N3_hmi,0.580000,7478,True,3.000000
LSTM,FULL,Ransomware,N5_plc,0.810000,2136,True,3.000000
LSTM,FULL,SQL_injection,N2_scada,0.900000,10192,True,3.000000
LSTM,FULL,DDoS_HTTP,N1_gateway,0.810000,9934,True,3.000000
LSTM,FULL,DDoS_TCP,N1_gateway,0.810000,9964,True,3.000000
LSTM,FULL,Password,N3_hmi,0.580000,9982,True,3.000000
LSTM,FULL,Port_Scanning,N1_gateway,0.810000,4464,True,3.000000
LSTM,FULL,Vulnerability_scanner,N1_gateway,0.810000,9973,True,3.000000
LSTM,FULL,Backdoor,N2_scada,0.900000,4924,True,3.000000
LSTM,FULL,XSS,N1_gateway,0.810000,3134,True,3.000000
LSTM,FULL,Fingerprinting,N4_sensor,0.210000,152,False,
LSTM,FULL,DDoS_UDP,N1_gateway,0.810000,24265,True,3.000000
LSTM,FULL,DDoS_ICMP,N1_gateway,0.810000,23239,True,3.000000
TiDE,B,MITM,N4_sensor,1.000000,194,True,1.000000
TiDE,B,Uploading,N3_hmi,1.000000,7478,True,1.000000
TiDE,B,Ransomware,N5_plc,1.000000,2136,True,1.000000
TiDE,B,SQL_injection,N2_scada,1.000000,10192,True,1.000000
TiDE,B,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
TiDE,B,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
TiDE,B,Password,N3_hmi,1.000000,9982,True,1.000000
TiDE,B,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
TiDE,B,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
TiDE,B,Backdoor,N2_scada,1.000000,4924,True,1.000000
TiDE,B,XSS,N1_gateway,1.000000,3134,True,1.000000
TiDE,B,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
TiDE,B,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
TiDE,B,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
TiDE,B+K,MITM,N4_sensor,1.000000,194,True,3.000000
TiDE,B+K,Uploading,N3_hmi,1.000000,7478,True,9.000000
TiDE,B+K,Ransomware,N5_plc,1.000000,2136,True,3.000000
TiDE,B+K,SQL_injection,N2_scada,1.000000,10192,True,3.000000
